n_qubits,n_layers,n_params,ansatz_type,entangle_pattern,entangler_gate,cost_global,n_entanglers,depth_ratio,grad_mean,grad_var,log_grad_var,samples
7,12,84,0,0,1,1,72,1.7142857142857142,-0.0012981963557972492,0.007630781342912272,-2.1174309908076454,200
3,9,27,1,1,1,0,27,3.0,-0.00707743450351077,0.05143830560902497,-1.2887133456198043,200
10,4,40,0,0,1,1,36,0.4,0.0002709340103508137,0.0008873534245404077,-3.051903370295973,200
9,9,81,1,0,0,1,72,1.0,-0.001571684050269953,0.00044168124826334947,-3.3548910384790425,200
8,14,112,0,0,0,1,98,1.75,0.00612685669709011,0.0026886123056343615,-2.570471817956207,200
10,9,90,1,1,1,1,90,0.9,-0.0022940488515498557,0.0004868485691031397,-3.31260610209092,200
8,7,56,1,0,1,0,49,0.875,0.008353980917823488,0.07094617328110044,-1.1490710246987095,200
3,10,30,1,1,1,1,30,3.3333333333333335,-0.03490913887167275,0.049834466382183876,-1.302470187719358,200
7,19,133,1,0,0,1,114,2.7142857142857144,0.008219511116576306,0.003261265734059671,-2.4866138126218695,200
4,9,36,1,0,1,1,27,2.25,0.005413339452719903,0.014230300777008976,-1.8467859204065946,200
4,1,4,0,2,1,1,6,0.25,6.591949208711867e-19,1.5840039531793716e-33,-18.0,200
4,1,4,1,1,1,1,4,0.25,-0.062245471854944355,0.5084133687164286,-0.2937830382056757,200
11,12,132,1,0,0,0,120,1.0909090909090908,-0.017458353457898194,0.06517164519082798,-1.1859413155506668,200
6,9,54,0,1,0,1,54,1.5,-0.0021087266281419608,0.0141735131031477,-1.8485224904575424,200
4,20,80,0,0,1,1,60,5.0,0.004741941605240968,0.061476956677032,-1.211287639726057,200
8,11,88,0,0,1,1,77,1.375,-0.0021637725234966054,0.004205436067959266,-2.376188964886412,200
12,3,36,0,1,0,0,36,0.25,-0.044576518826963694,0.18981228157855576,-0.7216756904902183,200
7,9,63,0,0,0,0,54,1.2857142857142858,-0.011468808159262824,0.14457842282848687,-0.839896517178074,200
5,14,70,0,2,1,1,140,2.8,0.004963340174985724,0.01834365254429167,-1.7365141843752578,200
2,13,26,1,1,0,0,26,6.5,0.01332363171001841,0.19358289388158478,-0.7131330221364264,200
2,3,6,0,2,1,0,3,1.5,0.016203895934982143,0.33999095633510557,-0.46853263491655694,200
2,6,12,1,1,1,1,12,3.0,0.03977641512482315,0.18968742914746373,-0.7219614494634097,200
7,13,91,1,2,1,1,273,1.8571428571428572,0.0011703323317806583,0.0013366439918919655,-2.873984249391044,200
9,4,36,0,0,1,0,32,0.4444444444444444,0.02640047109692821,0.22318238900924484,-0.6513400779148266,200
5,10,50,0,1,1,0,50,2.0,-0.0032116415540670556,0.030145436773346135,-1.5207784193162972,200
2,16,32,0,2,1,1,16,8.0,0.058922804170074394,0.22294023998626258,-0.6518115357067971,200
6,11,66,0,1,1,0,66,1.8333333333333333,-0.007351982714480239,0.016471368346632063,-1.7832703206416072,200
5,15,75,0,0,0,0,60,3.0,-0.02441279819681101,0.09590396214837743,-1.0181634501428791,200
8,6,48,0,2,0,1,168,0.75,-0.0057461040276450435,0.005818266286845677,-2.235206406110408,200
8,17,136,0,0,1,0,119,2.125,-0.00750420330216834,0.004749041119136578,-2.323394070102798,200
8,3,24,0,2,1,0,84,0.375,0.014171032364135173,0.12850347269398085,-0.8910851357454919,200
9,5,45,1,0,0,0,40,0.5555555555555556,-0.0064489727504903225,0.30114848462238103,-0.5212193178554919,200
7,20,140,0,2,0,1,420,2.857142857142857,0.0037506527718486,0.0072342934768716,-2.140603876995384,200
11,2,22,0,0,0,0,20,0.18181818181818182,-0.02746245518324365,0.3825071553445057,-0.4173604363337116,200
10,14,140,1,1,0,0,140,1.4,0.006012978068742194,0.02751634466004639,-1.5604092593685757,200
8,7,56,0,2,0,0,196,0.875,-0.00953102677098859,0.016501016019972517,-1.7824893140719937,200
3,5,15,1,2,0,1,15,1.6666666666666667,-0.024639670099307565,0.057384774467623995,-1.2412033208742463,200
2,14,28,1,1,1,0,28,7.0,0.013347690185718974,0.09884199355839973,-1.005058503833686,200
5,17,85,0,2,0,0,170,3.4,0.019655880904606893,0.0343818804906459,-1.4636703735949712,200
2,14,28,1,1,1,0,28,7.0,-0.012170379780864287,0.0796134059679894,-1.0990137959846322,200
6,20,120,0,0,0,0,100,3.3333333333333335,0.01762489784441994,0.07942286993656662,-1.1000544238058199,200
12,11,132,0,0,1,0,121,0.9166666666666666,0.013492464726470331,0.015013492835723521,-1.823518258934991,200
6,18,108,1,1,0,1,108,3.0,0.006032786240770812,0.006360618247234503,-2.1965006692080467,200
12,6,72,0,0,0,1,66,0.5,0.00028364763313312724,0.00032449073731090946,-3.4887976957578313,200
6,11,66,1,0,0,0,55,1.8333333333333333,0.024587901228038153,0.06467994282430811,-1.189230372672539,200
9,12,108,0,2,0,0,432,1.3333333333333333,0.004007213186156505,0.002311269279200198,-2.6361494531976852,200
4,4,16,1,2,1,0,24,1.0,-0.037406761062727945,0.2269940581758418,-0.6439855108034315,200
5,18,90,1,0,0,0,72,3.6,0.012187179761081768,0.02962082679060702,-1.5284028234114682,200
8,15,120,1,1,1,1,120,1.875,-0.0018015195109491564,0.0017837646393145787,-2.7486624496180387,200
11,1,11,1,0,1,1,10,0.09090909090909091,0.012759624629692679,0.029389602919908216,-1.5318062815986262,200
8,19,152,0,1,0,1,152,2.375,0.002966096039521974,0.004971668517577113,-2.3034978353373616,200
12,12,144,0,1,1,1,144,1.0,0.00022234323623487997,0.0002257446814245992,-3.646382472930992,200
3,14,42,1,2,0,0,42,4.666666666666667,0.01701102783621592,0.0848148849371712,-1.0715279227575378,200
10,4,40,1,0,0,0,36,0.4,-0.00022241208338390716,0.49396721822948597,-0.306301871753363,200
9,5,45,0,0,1,1,40,0.5555555555555556,0.004135588857676115,0.0027499248308578777,-2.5606791774387596,200
5,7,35,1,1,0,1,35,1.4,0.006284447243135875,0.009281711136721075,-2.0323719517196372,200
2,5,10,0,1,0,1,10,2.5,-0.006782231141491526,0.2562781118822219,-0.5912884843139872,200
2,18,36,1,1,1,0,36,9.0,-0.0361344351831126,0.10286033018317514,-0.9877520859210066,200
12,10,120,0,2,0,0,660,0.8333333333333334,0.0007774702893190278,0.0014084945391898108,-2.8512448324583493,200
7,9,63,0,1,1,1,63,1.2857142857142858,0.006000303576631607,0.0082202099901379,-2.0851170880082117,200
7,2,14,0,2,1,1,42,0.2857142857142857,-6.500876226223085e-18,3.0803218018156524e-33,-18.0,200
9,20,180,0,1,0,0,180,2.2222222222222223,0.012875338350989307,0.005184159987164863,-2.2853216042688795,200
8,14,112,0,0,0,1,98,1.75,0.009530788664486797,0.007634695082595002,-2.117208303282189,200
2,11,22,1,1,1,0,22,5.5,0.02754381510012286,0.10959005989614116,-0.9602288357059199,200
6,20,120,1,0,1,1,100,3.3333333333333335,0.001191917174655597,0.008999964068405393,-2.0457592244411655,200
3,11,33,0,0,1,1,22,3.6666666666666665,0.016181694891305866,0.12358476061958043,-0.9080350793027617,200
11,3,33,1,0,0,0,30,0.2727272727272727,-4.718447854656916e-18,3.698632902399023e-33,-18.0,200
2,11,22,1,2,1,1,11,5.5,0.03667231842870498,0.08679306087027178,-1.061514995402046,200
8,17,136,1,0,0,0,119,2.125,-0.0047352810475100185,0.03909456740400579,-1.407883588138224,200
10,10,100,1,0,0,0,90,1.0,-0.007973319015122922,0.10053374770354004,-0.9976881274855529,200
8,15,120,1,1,1,0,120,1.875,-0.0004529911496038648,0.002012531218042185,-2.6962573742056577,200
12,5,60,1,0,0,0,55,0.4166666666666667,0.03056331388213553,0.30451485473440615,-0.5163915169167316,200
11,20,220,1,1,1,1,220,1.8181818181818181,0.0003614278453441426,0.00024928957411990844,-3.603295884339689,200
9,17,153,0,1,0,1,153,1.8888888888888888,0.0035897754309389017,0.0029350798089366257,-2.532380085179725,200
7,1,7,0,2,1,1,21,0.14285714285714285,-2.203098814490545e-18,3.795999193517182e-33,-18.0,200
10,8,80,0,1,0,0,80,0.8,-0.020725364328817716,0.0405720284767808,-1.3917732783629735,200
10,2,20,1,1,1,0,20,0.2,-8.326672684688674e-19,1.8867180107195114e-33,-18.0,200
10,20,200,1,2,0,1,900,2.0,0.0016980578018586762,0.0005290162218296901,-3.276531010492027,200
10,14,140,0,2,1,1,630,1.4,-4.136231288032199e-18,6.948125820898999e-34,-18.0,200
6,9,54,1,0,0,0,45,1.5,-0.030211795950994266,0.09104585448855967,-1.0407398237705436,200
10,4,40,1,2,1,0,180,0.4,-0.009540895719656852,0.2562908934732786,-0.5912668248909279,200
3,1,3,1,2,0,1,3,0.3333333333333333,0.044250262017163325,0.11233505642083642,-0.9494846922312155,200
3,13,39,1,1,0,0,39,4.333333333333333,0.0006814227015140417,0.08412261089960202,-1.0750872566503211,200
10,18,180,0,1,1,0,180,1.8,0.0007537656657862437,0.0010282542840980254,-2.9878994723791994,200
9,12,108,1,1,0,1,108,1.3333333333333333,-0.0014961339173546059,0.0007216297752383842,-3.1416855556283294,200
6,2,12,1,0,1,1,10,0.3333333333333333,3.7556763254897874e-18,2.252005381689516e-33,-18.0,200
8,3,24,1,0,1,1,21,0.375,-0.003832161268034664,0.004819023963510982,-2.317040914081711,200
7,11,77,0,2,0,0,231,1.5714285714285714,-0.0035317461620989975,0.010322368115523768,-1.9862206572123955,200
10,6,60,0,2,1,1,270,0.6,2.8818093744664706e-18,1.4865412480145593e-33,-18.0,200
6,1,6,0,1,1,0,6,0.16666666666666666,2.8579569266717896e-18,1.1930217991410708e-33,-18.0,200
5,7,35,0,0,0,0,28,1.4,0.04278031745350163,0.16014074776526677,-0.7954981479184521,200
2,9,18,0,2,0,0,9,4.5,0.010439583722375858,0.20856472566310455,-0.6807591414764814,200
5,8,40,0,1,0,0,40,1.6,-0.016643794647510632,0.05503644570054668,-1.2593496209659032,200
7,17,119,1,1,0,1,119,2.4285714285714284,0.003814119704061555,0.003494975104028051,-2.456555913543979,200
10,7,70,1,2,0,0,315,0.7,0.001547030332557184,0.029430391868983247,-1.5312039551819379,200
7,20,140,0,2,0,1,420,2.857142857142857,-0.002864868460237152,0.008540074720256186,-2.068538329492144,200
8,10,80,1,0,0,0,70,1.25,0.01925601679099925,0.08729132697291846,-1.0590289044607375,200
6,2,12,0,0,1,0,10,0.3333333333333333,-0.03383014277090482,0.40392960981844184,-0.39369430996587873,200
4,12,48,1,2,1,0,72,3.0,-0.008287887147810962,0.05671133896764857,-1.2463300988011743,200
9,11,99,0,2,0,0,396,1.2222222222222223,-0.001635862284463927,0.003683625062168303,-2.43372458089595,200
9,8,72,0,0,0,1,64,0.8888888888888888,0.0012792007542788704,0.0017363171229751785,-2.7603709518667077,200
9,11,99,0,2,0,0,396,1.2222222222222223,0.006207545822820303,0.0034753592919754437,-2.45900029022316,200
6,13,78,0,2,1,1,195,2.1666666666666665,-0.00023719392114285504,0.0035246300154126555,-2.452886464686166,200
5,17,85,0,2,1,0,170,3.4,0.006495160420815331,0.02963849483763612,-1.5281438553589397,200
4,6,24,0,1,1,1,24,1.5,-0.0013479842093555986,0.044926926710582606,-1.347493288913889,200
12,6,72,0,1,0,0,72,0.5,0.010811656867646686,0.053182247006500705,-1.2742333172130236,200
8,13,104,1,0,0,1,91,1.625,-0.0031636349805213753,0.001152341264335566,-2.9384188861301173,200
11,3,33,0,0,1,0,30,0.2727272727272727,-0.02518770046021201,0.29318982576364516,-0.5328511046017579,200
9,15,135,0,0,0,1,120,1.6666666666666667,0.008332544985382172,0.003127470959744107,-2.504806714274492,200
2,8,16,0,0,1,1,8,4.0,-0.0424029440692636,0.18123607679943035,-0.741755347523529,200
8,16,128,0,0,0,0,112,2.0,-0.020430831370057523,0.07387648112789728,-1.131493798980744,200
4,13,52,1,2,0,0,78,3.25,0.012739019819205688,0.033089109634879696,-1.4803149187229212,200
5,19,95,0,1,1,0,95,3.8,0.01099198812136561,0.03256460005727787,-1.4872542512526472,200
2,10,20,1,2,1,0,10,5.0,0.03968312813568444,0.09588249773633041,-1.018260661132162,200
9,8,72,0,2,1,1,288,0.8888888888888888,8.803721640582295e-19,1.2440866279102832e-33,-18.0,200
4,1,4,0,0,1,0,3,0.25,0.01845101063335237,0.5015115090187127,-0.29971909605140673,200
11,10,110,1,0,1,1,100,0.9090909090909091,-0.000601420516422188,0.00016430131146351733,-3.784358969984928,200
8,14,112,0,0,0,0,98,1.75,0.013452327419764822,0.09684115240166591,-1.0139400511313108,200
10,16,160,1,2,0,0,720,1.6,0.0014861390984962127,0.003041989978005129,-2.516842221086518,200
12,15,180,1,1,1,0,180,1.25,0.00011441589616669898,0.00014100411212605653,-3.8507682217587043,200
3,12,36,1,0,0,0,24,4.0,-0.011967589092150913,0.1074295871096658,-0.9688760934142818,200
8,9,72,1,1,0,0,72,1.125,-0.001633268577399435,0.02053534828943716,-1.6874979269034414,200
6,1,6,1,0,1,1,5,0.16666666666666666,2.3570555229834865e-18,1.593538843950699e-33,-18.0,200
4,5,20,1,0,1,0,15,1.25,0.012557222250290316,0.08963975921388258,-1.04749931871688,200
7,18,126,1,1,0,0,126,2.5714285714285716,-0.002458518222874983,0.008169346214979587,-2.087812698251911,200
4,4,16,0,2,1,1,24,1.0,-5.3212642625588556e-18,5.596998256575861e-33,-18.0,200
10,10,100,1,1,1,0,100,1.0,-0.0013085261403786032,0.0005006149366748494,-3.3004961966401205,200
10,9,90,0,1,0,1,90,0.9,0.002904558944140948,0.001036244948021246,-2.984537573741399,200
7,20,140,1,1,0,1,140,2.857142857142857,-0.0015899435782673532,0.0037519745244818993,-2.4257401190974766,200
11,15,165,0,2,0,1,825,1.3636363636363635,-0.0013208112095803998,0.0005184674804464658,-3.285278478437064,200
11,4,44,1,0,1,1,40,0.36363636363636365,-0.003521925543984519,0.0003087441718767937,-3.5104012317748303,200
7,5,35,0,1,1,0,35,0.7142857142857143,-0.009801650680008054,0.008868853813888768,-2.0521325035581226,200
3,19,57,1,1,1,0,57,6.333333333333333,0.01155026298732883,0.04769358044703353,-1.3215400730364466,200
5,14,70,0,1,0,1,70,2.8,-0.013175000445868992,0.038218007571840205,-1.4177319578647436,200
10,5,50,0,1,0,0,50,0.5,-0.04251951637444381,0.09737136757426189,-1.0115687303142815,200
2,10,20,1,0,0,0,10,5.0,-9.802014029431704e-05,0.1104777732749499,-0.956725087725475,200
4,3,12,0,2,0,0,18,0.75,0.023234005382037504,0.22018821332893224,-0.6572059325178058,200
5,8,40,1,2,1,1,80,1.6,-8.612902058224847e-18,3.863487013728964e-33,-18.0,200
12,11,132,1,2,1,0,726,0.9166666666666666,-0.0012196539704806076,0.00010108986619771607,-3.99529237828633,200
6,3,18,1,0,1,1,15,0.5,0.008263046920912042,0.040749398652288445,-1.3898787958545527,200
6,18,108,0,0,0,0,90,3.0,0.007874174097109266,0.08240726626442857,-1.0840344926789236,200
9,11,99,0,1,1,0,99,1.2222222222222223,-0.0012455998450097512,0.0022155559993253604,-2.654517268475683,200
2,17,34,1,1,1,0,34,8.5,-0.0009584845867792557,0.10320815913098194,-0.9862859681594432,200
8,16,128,0,1,1,1,128,2.0,0.003995751619385891,0.00388909541861724,-2.4101514013445504,200
7,20,140,1,2,1,1,420,2.857142857142857,0.004447031265252151,0.004048660364218916,-2.3926886539878875,200
8,11,88,1,1,1,1,88,1.375,-0.0041995437386250604,0.0021680191114714833,-2.6639368937341934,200
2,5,10,0,0,1,0,5,2.5,-0.009979664136598884,0.2780109555254375,-0.5559380895837391,200
3,8,24,0,0,0,1,16,2.6666666666666665,-0.016908091199760805,0.09945429717235431,-1.0023764473517836,200
2,16,32,0,0,1,1,16,8.0,0.0009968885945124285,0.2579263307976969,-0.5885043199930122,200
9,13,117,0,1,0,1,117,1.4444444444444444,-0.0005880724717825289,0.0022887724021645366,-2.64039739185952,200
3,15,45,1,2,0,0,45,5.0,-0.013218841765579512,0.05963735262264333,-1.2244816436713633,200
9,10,90,1,2,0,1,360,1.1111111111111112,0.000588735076646695,0.001069567204804092,-2.970791921930599,200
5,11,55,1,1,0,1,55,2.2,-0.007623633767568364,0.014317555331796355,-1.8441311298317173,200
2,10,20,1,1,1,1,20,5.0,-0.00041278574975918246,0.08943718785723088,-1.0484818646151561,200
4,7,28,0,2,1,1,42,1.75,-0.0027637939160331687,0.009875388002477021,-2.005445832002831,200
8,1,8,0,1,0,1,8,0.125,0.001950693162934328,0.002663075014511007,-2.5746166000164292,200
12,9,108,0,0,0,0,99,0.75,-0.028378562557191893,0.13272003643674496,-0.8770635077531721,200
8,14,112,0,2,0,1,392,1.75,7.610997506735162e-05,0.003385602704807122,-2.470364007016626,200
4,3,12,1,2,0,1,18,0.75,0.0023400161709183666,0.01787874691283149,-1.7476629233428673,200
6,19,114,1,1,1,1,114,3.1666666666666665,0.0033517011182603433,0.00842811639239773,-2.074269475410042,200
2,17,34,0,1,1,0,34,8.5,0.07061592515238307,0.22758430214069628,-0.6428576971486258,200
9,15,135,1,2,0,1,540,1.6666666666666667,-0.001101753650619325,0.0010432525728502908,-2.981610535565876,200
6,15,90,1,0,1,1,75,2.5,-0.004857991476604775,0.004677862177455141,-2.3299525778352153,200
6,2,12,1,2,0,1,30,0.3333333333333333,-0.0008678724932563997,0.06193089701207536,-1.2080926295887937,200
12,15,180,1,2,1,1,990,1.25,-8.2290944891649785e-19,1.4993021255154755e-34,-18.0,200
2,6,12,0,1,0,0,12,3.0,-0.025578806704529083,0.4909974305073608,-0.308920780625289,200
8,17,136,0,2,1,0,476,2.125,8.865912467178993e-05,0.003485705436554769,-2.45770931621742,200
5,14,70,1,2,0,0,140,2.8,-0.011761219424768548,0.027766440847419114,-1.5564797853339525,200
2,5,10,1,1,1,0,10,2.5,-0.007482107715298464,0.02543733736236306,-1.5945283501522407,200
8,9,72,1,2,1,1,252,1.125,-1.0451708942760263e-18,1.2513902658345408e-33,-18.0,200
6,17,102,1,0,0,0,85,2.8333333333333335,0.010999128442613993,0.04971357712682865,-1.3035249861961522,200
3,12,36,0,1,0,1,36,4.0,-0.02669481062883995,0.1376259478018568,-0.8612996771122975,200
3,6,18,1,0,1,0,12,2.0,-0.004009417178266612,0.06981044463574793,-1.1560795958822077,200
2,13,26,0,0,1,0,13,6.5,0.005310044402077509,0.22621420592824598,-0.6454801254825182,200
12,2,24,1,0,0,0,22,0.16666666666666666,-2.636779683484747e-18,5.867133723281832e-33,-18.0,200
4,12,48,1,2,1,1,72,3.0,-0.010802520998514887,0.01270613942021293,-1.8959863836066955,200
7,7,49,0,1,0,0,49,1.0,-0.016480986381521356,0.05979092641253184,-1.2233647174824491,200
6,10,60,1,0,0,1,50,1.6666666666666667,-0.004692819080106277,0.00594214006207086,-2.2260571156647004,200
12,20,240,0,0,1,0,220,1.6666666666666667,-0.00039243294522060807,0.0006686516608403277,-3.1748000723274385,200
8,16,128,0,1,1,0,128,2.0,-0.00636285511540374,0.00443127951808258,-2.3534708544973584,200
12,6,72,0,1,0,0,72,0.5,0.006180411517658644,0.08004483132865556,-1.096666706192096,200
3,19,57,0,2,1,0,57,6.333333333333333,0.03918248145543801,0.11779565171305151,-0.9288707407193904,200
3,12,36,0,2,1,1,36,4.0,0.019948301345179963,0.10920881932693426,-0.9617422880931751,200
5,20,100,0,1,1,1,100,4.0,-0.014244764008953819,0.03834712468442476,-1.4162671944399727,200
9,14,126,0,0,1,1,112,1.5555555555555556,0.0018070984315105407,0.0017714242932790672,-2.7516774037111156,200
11,11,121,0,2,1,0,605,1.0,0.0007771182812371226,0.0008880858653255164,-3.051545042065709,200
12,11,132,1,1,0,0,132,0.9166666666666666,0.002306437120458691,0.020096880537901915,-1.6968713490628151,200
11,16,176,0,0,0,1,160,1.4545454545454546,-0.0025686672435801666,0.000970003614021474,-3.0132266476444154,200
11,16,176,0,0,0,1,160,1.4545454545454546,0.0007655887157492851,0.00040040200506206243,-3.397503756404484,200
4,4,16,1,1,1,1,16,1.0,0.015399813225493948,0.059230238153025194,-1.2274565211436799,200
12,19,228,0,1,1,1,228,1.5833333333333333,-0.00023083954278856075,0.0002447828328983442,-3.611219043384934,200
8,4,32,1,2,0,1,112,0.5,0.00198717205326166,0.0010022754246570443,-2.999012918217167,200
10,16,160,1,0,1,0,144,1.6,0.0003853377571802591,0.0004530477298095502,-3.3438560414729204,200
10,8,80,1,0,0,0,72,0.8,0.01266088284164382,0.10318338296448193,-0.9863902374752893,200
2,9,18,1,1,1,0,18,4.5,0.013584992576606334,0.1095198843822601,-0.9605070233489839,200
7,5,35,1,2,0,0,105,0.7142857142857143,-0.008993837039288409,0.09081996100009083,-1.0418186889297558,200
8,8,64,0,2,1,0,224,1.0,0.0026561065149453265,0.009335326596379385,-2.029870483657674,200
6,20,120,1,0,0,0,100,3.3333333333333335,0.009734243634684232,0.06621117826835547,-1.1790686835143658,200
9,17,153,0,1,1,0,153,1.8888888888888888,0.00731540085363398,0.0015419307557211026,-2.811935128933218,200
5,12,60,1,0,1,0,48,2.4,0.008315433217786751,0.013643016094607713,-1.8650896085324775,200
8,20,160,0,1,1,0,160,2.5,-0.0010597232219496434,0.0037338333176380255,-2.4278450733301056,200
3,1,3,0,0,0,0,2,0.3333333333333333,0.04455273579511557,0.4753176750581771,-0.3230160358261977,200
11,12,132,1,2,1,1,660,1.0909090909090908,-3.686287386450715e-19,2.5306324503146405e-34,-18.0,200
3,19,57,0,2,1,1,57,6.333333333333333,0.02592872106396787,0.1005141665917898,-0.9977727239245596,200
12,3,36,0,2,0,1,198,0.25,-0.002233048138446663,0.000876085641432397,-3.057453437458027,200
12,10,120,1,2,0,0,660,0.8333333333333334,0.01157458722322317,0.03721037948474604,-1.429335900865572,200
3,1,3,0,0,0,0,2,0.3333333333333333,0.003219063862323077,0.4561515462423978,-0.34089084864540664,200
4,18,72,0,0,1,0,54,4.5,-0.02789097107093835,0.06576474515347316,-1.1820068584908057,200
